answer,question,context,gemma_query,rouge1,rouge2,rougeL,exact_match,bleu_score
"SELECT rd, _time FROM table_name_86 WHERE date = ""october 3, 2009""","What was the Rd. Time for October 3, 2009?","CREATE TABLE table_name_86 (rd VARCHAR, _time VARCHAR, date VARCHAR)","SELECT rd FROM table_name_86 WHERE rd._time = ""1:00:00"" AND date = ""october 3, 2009""",0.8333333283680556,0.499999995138889,0.8333333283680556,0,0.4551030558262258
"SELECT home_or_representative_town_or_province FROM table_19061741_1 WHERE name = ""Cindy Miranda""",When cindy miranda is the name what is the home or representative town or province?,"CREATE TABLE table_19061741_1 (home_or_representative_town_or_province VARCHAR, name VARCHAR)","SELECT home_or_representative_town_or_province FROM table_19061741_1 WHERE name = ""Cindy Miranda""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT T1.Claim_id, COUNT(*) FROM Claims AS T1 JOIN Settlements AS T2 ON T1.claim_id = T2.claim_id GROUP BY T1.claim_id",How many settlements does each claim correspond to? List the claim id and the number of settlements.,"CREATE TABLE Settlements (claim_id VARCHAR); CREATE TABLE Claims (Claim_id VARCHAR, claim_id VARCHAR)",SELECT COUNT(DISTINCT t1.claim_id) FROM Settlements AS t1 JOIN Claims AS t2 ON t1.claim_id = t2.claim_id,0.6428571378826532,0.16216215719503302,0.4999999950255103,0,0.26488185142603277
SELECT COUNT(*) FROM (SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName = T2.cName WHERE T2.pPos = 'mid' EXCEPT SELECT T1.state FROM college AS T1 JOIN tryout AS T2 ON T1.cName = T2.cName WHERE T2.pPos = 'goalie'),How many states that have some college students playing in the mid position but not in the goalie position.,"CREATE TABLE tryout (cName VARCHAR, pPos VARCHAR); CREATE TABLE college (state VARCHAR, cName VARCHAR)","SELECT COUNT(DISTINCT cName) FROM college WHERE state = ""NY"" AND cName = ""Mid""",0.45161289848074926,0.09999999580000019,0.3870967694484912,0,0.0
SELECT COUNT(_percentage_same_sex_marriages) FROM table_19614212_1 WHERE marriages_between_men = 923,How many % same-sex marriages are marriages between men for 923? ,"CREATE TABLE table_19614212_1 (_percentage_same_sex_marriages VARCHAR, marriages_between_men VARCHAR)",SELECT _percentage_same_sex_marriages FROM table_19614212_1 WHERE marriages_between_men = 923,0.874999995,0.7142857092857143,0.874999995,0,0.7799028757309935
"SELECT team FROM table_27755603_2 WHERE high_points = ""Austin Daye (16)""",Who was the opponent in the game in which Austin Daye (16) did the most high points?,"CREATE TABLE table_27755603_2 (team VARCHAR, high_points VARCHAR)","SELECT team FROM table_27755603_2 WHERE high_points = ""Austin Daye (16)""",0.999999995,0.999999995,0.999999995,1,1.0
SELECT AVG(silver) FROM table_name_89 WHERE total < 3 AND rank = 6 AND bronze > 1,"How many silvers on average for nations with less than 3 total, ranked 6, and over 1 bronze?","CREATE TABLE table_name_89 (silver INTEGER, bronze VARCHAR, total VARCHAR, rank VARCHAR)",SELECT AVG(silver) FROM table_name_89 WHERE rank = 6 AND bronze > 1 AND total > 1,0.9285714235969389,0.6896551674197384,0.8571428521683674,0,0.7565293041233583
"SELECT relationship FROM table_name_95 WHERE age_at_death = ""96""",What is the relationship of the woman who died at 96?,"CREATE TABLE table_name_95 (relationship VARCHAR, age_at_death VARCHAR)","SELECT relationship FROM table_name_95 WHERE age_at_death = ""96""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT AVG(pick__number) FROM table_name_11 WHERE league_from = ""quebec major junior hockey league"" AND player = ""samuel carrier""",What is the average pick # from the Quebec Major Junior Hockey League player Samuel Carrier?,"CREATE TABLE table_name_11 (pick__number INTEGER, league_from VARCHAR, player VARCHAR)","SELECT AVG(pick__number) FROM table_name_11 WHERE league_from = ""quebec major junior hockey league"" AND player = ""samuel carrier""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT MAX(founded) FROM table_24334261_1 WHERE team = ""Worcester Tornadoes""",What is the maximum founded year of the Worcester Tornadoes?,"CREATE TABLE table_24334261_1 (founded INTEGER, team VARCHAR)","SELECT MAX(founded) FROM table_24334261_1 WHERE team = ""Worcester Tornadoes""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT score FROM table_name_48 WHERE team = ""charlotte""",What score is the team of charlotte?,"CREATE TABLE table_name_48 (score VARCHAR, team VARCHAR)","SELECT score FROM table_name_48 WHERE team = ""charlotte""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT AVG(number_of_households) FROM table_name_70 WHERE county = ""highlands""",How many households are in highlands county?,"CREATE TABLE table_name_70 (number_of_households INTEGER, county VARCHAR)","SELECT MIN(number_of_households) FROM table_name_70 WHERE county = ""highlands""",0.874999995,0.7142857092857143,0.874999995,0,0.9086549610666288
"SELECT rank___number_ FROM table_name_86 WHERE air_date = ""may 19, 2009""","What is the rank for the show aired on May 19, 2009?","CREATE TABLE table_name_86 (rank___number_ VARCHAR, air_date VARCHAR)","SELECT rank___number_ FROM table_name_86 WHERE air_date = ""may 19, 2009""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT kickoff_[a_] FROM table_11449590_2 WHERE opponent = ""at New Orleans Saints""",Which kickoff has the opponent at new orleans saints?,"CREATE TABLE table_11449590_2 (kickoff_ VARCHAR, a_ VARCHAR, opponent VARCHAR)","SELECT kickoff_ FROM table_11449590_2 WHERE a_ = ""14"" AND opponent = ""new orleans saints""",0.4999999950347222,0.26086956030245756,0.4999999950347222,0,0.37283992459416565
"SELECT score FROM table_name_25 WHERE opponent = ""braves"" AND record = ""41–27""",What was the score of the game against the Braves with a record of 41–27?,"CREATE TABLE table_name_25 (score VARCHAR, opponent VARCHAR, record VARCHAR)","SELECT score FROM table_name_25 WHERE opponent = ""braves"" AND record = ""41–27""",0.999999995,0.999999995,0.999999995,1,1.0
SELECT AVG(silver) FROM table_name_79 WHERE bronze = 3 AND total > 4,What is the average number of silver medals of the nation with 3 bronzes and more than 4 total medals?,"CREATE TABLE table_name_79 (silver INTEGER, bronze VARCHAR, total VARCHAR)",SELECT AVG(silver) FROM table_name_79 WHERE bronze = 3 AND total > 4,0.999999995,0.999999995,0.999999995,1,1.0
"SELECT COUNT(match) FROM table_name_63 WHERE city_country = ""karachi, pakistan"" AND year > 1996","How many matches have a City/Country of karachi, pakistan, and a Year larger than 1996?","CREATE TABLE table_name_63 (match VARCHAR, city_country VARCHAR, year VARCHAR)","SELECT COUNT(match) FROM table_name_63 WHERE city_country = ""karachi, pakistan"" AND year > 1996",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT avg_finish FROM table_2387790_2 WHERE position = ""3rd""",What was the average finish the year Bodine finished 3rd?,"CREATE TABLE table_2387790_2 (avg_finish VARCHAR, position VARCHAR)","SELECT COUNT(avg_finish) FROM table_2387790_2 WHERE position = ""3rd""",0.874999995,0.7142857092857143,0.874999995,0,0.6859238121837058
"SELECT AVG(game) FROM table_name_5 WHERE record = ""20-12""",What is the average number of games with a record of 20-12?,"CREATE TABLE table_name_5 (game INTEGER, record VARCHAR)","SELECT AVG(game) FROM table_name_5 WHERE record = ""20-12""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT high_rebounds FROM table_27704187_11 WHERE date = ""April 8""",Who had the high rebounds on april 8?,"CREATE TABLE table_27704187_11 (high_rebounds VARCHAR, date VARCHAR)","SELECT high_rebounds FROM table_27704187_11 WHERE date = ""April 8""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT played FROM table_name_56 WHERE try_bonus = ""2"" AND club = ""pontyberem rfc""","For Pontyberem RFC that has a Try Bonus of 2, what is the played?","CREATE TABLE table_name_56 (played VARCHAR, try_bonus VARCHAR, club VARCHAR)","SELECT COUNT(played) FROM table_name_56 WHERE try_bonus = 2 AND club = ""pontyberem rfc""",0.8333333283333335,0.6666666616666668,0.8333333283333335,0,0.6859095923640117
"SELECT new_entries_this_round FROM table_18328569_1 WHERE round = ""Quarter finals""",How many new entries started in the quarter finals?,"CREATE TABLE table_18328569_1 (new_entries_this_round VARCHAR, round VARCHAR)","SELECT new_entries_this_round FROM table_18328569_1 WHERE round = ""Quarter Finals""",0.888888883888889,0.874999995,0.888888883888889,0,0.9086549610666288
"SELECT away_team FROM table_name_90 WHERE home_team = ""ipswich town"" AND date = ""6 february 1986""","What is Away Team, when Home Team is ""Ipswich Town"", and when Date is ""6 February 1986""?","CREATE TABLE table_name_90 (away_team VARCHAR, home_team VARCHAR, date VARCHAR)","SELECT away_team FROM table_name_90 WHERE home_team = ""ipswich town"" AND date = ""6 february 1986""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT location FROM table_name_57 WHERE res = ""win"" AND event = ""superbrawl 16""",In which location did he win the Superbrawl 16 event?,"CREATE TABLE table_name_57 (location VARCHAR, res VARCHAR, event VARCHAR)","SELECT location FROM table_name_57 WHERE res = ""loss"" AND event = ""superbrawl 16""",0.9166666616666667,0.8333333283333335,0.9166666616666667,0,0.8656030552541708
"SELECT english_title FROM table_name_56 WHERE role = ""chae soo-yeon""",What is the English of chae soo-yeon?,"CREATE TABLE table_name_56 (english_title VARCHAR, role VARCHAR)","SELECT english_title FROM table_name_56 WHERE role = ""chae soo-yeon""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT COUNT(distance) FROM table_1284347_2 WHERE race = ""Rosehill Guineas""",How many races is different distances does Rosehill Guineas compete in? ,"CREATE TABLE table_1284347_2 (distance VARCHAR, race VARCHAR)","SELECT COUNT(distance) FROM table_1284347_2 WHERE race = ""Rosehill Guineas""",0.999999995,0.999999995,0.999999995,1,1.0
SELECT original_air_date FROM table_19632728_1 WHERE episode__number = 2,When was the episode number 2 originally aired?,"CREATE TABLE table_19632728_1 (original_air_date VARCHAR, episode__number VARCHAR)","SELECT original_air_date FROM table_19632728_1 WHERE episode__number = ""2""",0.874999995,0.8571428521428571,0.874999995,0,0.8571061116877262
SELECT AVG(silver) FROM table_name_61 WHERE rank < 2 AND gold > 1,What is the average silver with a Rank smaller than 2 and more than 1 gold?,"CREATE TABLE table_name_61 (silver INTEGER, rank VARCHAR, gold VARCHAR)","SELECT AVG(silver) FROM table_name_61 WHERE rank = ""2"" AND gold > 1",0.8333333283333335,0.7272727222727273,0.8333333283333335,0,0.7200391346486708
"SELECT games FROM table_name_61 WHERE bronze = ""8"" AND gold = ""4""",Which game had 8 bronze and 4 gold?,"CREATE TABLE table_name_61 (games VARCHAR, bronze VARCHAR, gold VARCHAR)",SELECT games FROM table_name_61 WHERE bronze = 8 AND gold = 4,0.8181818131818183,0.7272727222727273,0.8181818131818183,0,0.5997268958757788
"SELECT score FROM table_name_21 WHERE away_team = ""brighton & hove albion""",What was the score when the away team was brighton & hove albion?,"CREATE TABLE table_name_21 (score VARCHAR, away_team VARCHAR)","SELECT score FROM table_name_21 WHERE away_team = ""brighton & hove albion""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT college_junior_club_team FROM table_1213511_7 WHERE nationality = ""Canada"" AND nhl_team = ""Minnesota North Stars""",Which college/junior/club teams nationality is canada and nhl team is minnesota north stars,"CREATE TABLE table_1213511_7 (college_junior_club_team VARCHAR, nationality VARCHAR, nhl_team VARCHAR)","SELECT college_junior_club_team FROM table_1213511_7 WHERE nationality = ""Canada"" AND nhl_team = ""Minnesota North Stars""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT type FROM table_name_53 WHERE principal_activities = ""headquarters""",Name the type for headquarters principal activites.,"CREATE TABLE table_name_53 (type VARCHAR, principal_activities VARCHAR)","SELECT type FROM table_name_53 WHERE principal_activities = ""banking""",0.874999995,0.8571428521428571,0.874999995,0,0.8761560783209453
"SELECT election_winner FROM table_name_77 WHERE incumbent = ""bjp"" AND state = ""chhattisgarh""",Who was the election winner with a BJP incumbent in Chhattisgarh?,"CREATE TABLE table_name_77 (election_winner VARCHAR, incumbent VARCHAR, state VARCHAR)","SELECT election_winner FROM table_name_77 WHERE incumbent = ""rajendra singh"" AND state = ""chhattisgarh""",0.8695652124007562,0.7826086906616257,0.8695652124007562,0,0.8318180062062374
"SELECT result FROM table_name_60 WHERE date = ""december 3, 1995""","Which one took place on December 3, 1995?","CREATE TABLE table_name_60 (result VARCHAR, date VARCHAR)","SELECT result FROM table_name_60 WHERE date = ""december 3, 1995""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT term_start FROM table_name_61 WHERE name = ""ismail qemali bej""",When did Ismail Qemali Bej's term start?,"CREATE TABLE table_name_61 (term_start VARCHAR, name VARCHAR)","SELECT term_start FROM table_name_61 WHERE name = ""ismail qemali bej""",0.999999995,0.999999995,0.999999995,1,1.0
SELECT MIN(total) FROM table_name_99 WHERE rank = 4 AND silver > 3,What is the least total number with a rank of 4 and a total silver number bigger than 3?,"CREATE TABLE table_name_99 (total INTEGER, rank VARCHAR, silver VARCHAR)",SELECT MIN(total) FROM table_name_99 WHERE rank = 4 AND silver > 3,0.999999995,0.999999995,0.999999995,1,1.0
"SELECT us_customary FROM table_name_33 WHERE unit = ""butylka (vodochnaya)""",How large in US customary terms is the unit called butylka (vodochnaya)?,"CREATE TABLE table_name_33 (us_customary VARCHAR, unit VARCHAR)","SELECT us_customary FROM table_name_33 WHERE unit = ""butylka (vodochnaya)""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT nhl_team FROM table_name_69 WHERE player = ""ryan johnson""",Tell me the NHL team for ryan johnson,"CREATE TABLE table_name_69 (nhl_team VARCHAR, player VARCHAR)","SELECT nhl_team FROM table_name_69 WHERE player = ""ryan johnson""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT 1989 FROM table_name_37 WHERE 1982 = ""sf""","What is 1989, when 1982 is ""SF""?",CREATE TABLE table_name_37 (Id VARCHAR),"SELECT 1989 FROM table_name_37 WHERE 1982 = ""sf""",0.999999995,0.999999995,0.999999995,1,1.0
SELECT COUNT(title) FROM table_12226390_3 WHERE production_code = 39,what's the total number of title for production code 39,"CREATE TABLE table_12226390_3 (title VARCHAR, production_code VARCHAR)","SELECT COUNT(title) FROM table_12226390_3 WHERE production_code = ""39""",0.874999995,0.8571428521428571,0.874999995,0,0.840435017870011
"SELECT old_english_day_name FROM table_2624098_1 WHERE modern_english_day_name = ""Saturday""",what is the old English name of Saturday? ,"CREATE TABLE table_2624098_1 (old_english_day_name VARCHAR, modern_english_day_name VARCHAR)","SELECT old_english_day_name FROM table_2624098_1 WHERE modern_english_day_name = ""Saturday""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT television_station FROM table_1601792_4 WHERE transmitted = ""20 kW"" AND frequency = ""48 UHF""",What is the station that is transmitted at 20 kw and has a frequency of 48 uhf?,"CREATE TABLE table_1601792_4 (television_station VARCHAR, transmitted VARCHAR, frequency VARCHAR)","SELECT television_station FROM table_1601792_4 WHERE transmitted = ""20 kw"" AND frequency = ""48 uhf""",0.8461538411538462,0.7692307642307693,0.8461538411538462,0,0.8040514736345937
"SELECT SUM(overall) FROM table_name_23 WHERE pick < 8 AND college = ""western michigan""",What is the overall sum of the game with a pick less than 8 from the college of western michigan?,"CREATE TABLE table_name_23 (overall INTEGER, pick VARCHAR, college VARCHAR)","SELECT SUM(overall) FROM table_name_23 WHERE pick = 8 AND college = ""western michigan""",0.959999995008,0.8333333283333335,0.959999995008,0,0.8725129388059689
"SELECT loan_club FROM table_name_41 WHERE start_source = ""bbc sport"" AND ended = ""3 february""",What is the loan club with bbc sport as the start source and ended in 3 February?,"CREATE TABLE table_name_41 (loan_club VARCHAR, start_source VARCHAR, ended VARCHAR)","SELECT loan_club FROM table_name_41 WHERE start_source = ""bbc sport"" AND ended = ""3 february""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT rank FROM table_name_99 WHERE laps < 137 AND qual = ""116.470""",What's the rank when the laps are fewer than 137 and the qual is 116.470?,"CREATE TABLE table_name_99 (rank VARCHAR, laps VARCHAR, qual VARCHAR)",SELECT rank FROM table_name_99 WHERE laps < 137 AND qual = 116.470,0.8461538411538462,0.8333333283333335,0.8461538411538462,0,0.8346140405906742
"SELECT ground FROM table_29126507_1 WHERE away_team = ""Richmond""","When Richmond played as the away team, what was the ground?","CREATE TABLE table_29126507_1 (ground VARCHAR, away_team VARCHAR)","SELECT ground FROM table_29126507_1 WHERE away_team = ""Richmond""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT championship FROM table_19047_2 WHERE score_in_the_final = ""4–6, 7–5, 6–2""","What tournament did she win with a final score of 4–6, 7–5, 6–2?","CREATE TABLE table_19047_2 (championship VARCHAR, score_in_the_final VARCHAR)","SELECT championship FROM table_19047_2 WHERE score_in_the_final = ""4–6, 7–5, 6–2""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT score FROM table_name_64 WHERE home = ""kings""",Home of kings had what score?,"CREATE TABLE table_name_64 (score VARCHAR, home VARCHAR)","SELECT score FROM table_name_64 WHERE home = ""boston""",0.874999995,0.8571428521428571,0.874999995,0,0.855526185871245
"SELECT home_team AS score FROM table_name_59 WHERE home_team = ""north melbourne""",What score did the home team of north melbourne get?,CREATE TABLE table_name_59 (home_team VARCHAR),"SELECT home_team AS score FROM table_name_59 WHERE home_team = ""north melbourne""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT subject FROM table_191105_3 WHERE performed_by = ""Jaime Aff and Christine Langner""",WHen jaime aff and christine langner are the performers what is the subject?,"CREATE TABLE table_191105_3 (subject VARCHAR, performed_by VARCHAR)","SELECT subject FROM table_191105_3 WHERE performed_by = ""Jamie Aff and Christine Langner""",0.9166666616666667,0.8181818131818183,0.9166666616666667,0,0.8578928092681435
"SELECT document_type_description FROM Ref_Document_Types WHERE document_type_code = ""Paper""",What is the description of document type 'Paper'?,"CREATE TABLE Ref_Document_Types (document_type_description VARCHAR, document_type_code VARCHAR)",SELECT document_type_description FROM Ref_Document_Types WHERE document_type_code = 'Paper',0.874999995,0.8571428521428571,0.874999995,0,0.8557423956196076
SELECT nickname FROM table_16432543_1 WHERE established = 1773,Nickname of the school established in 1773,"CREATE TABLE table_16432543_1 (nickname VARCHAR, established VARCHAR)",SELECT COUNT(nickname) FROM table_16432543_1 WHERE established = 1773,0.874999995,0.7142857092857143,0.874999995,0,0.6554913610595183
SELECT MIN(transfers_out) FROM table_17650725_1 WHERE total_transfers = 21,Name the least transfers out when transfers is 21,"CREATE TABLE table_17650725_1 (transfers_out INTEGER, total_transfers VARCHAR)",SELECT MIN(transfers_out) FROM table_17650725_1 WHERE total_transfers = 21,0.999999995,0.999999995,0.999999995,1,1.0
"SELECT commissioned FROM table_name_29 WHERE operator = ""vietnam""",What is the commissioned for Vietnam?,"CREATE TABLE table_name_29 (commissioned VARCHAR, operator VARCHAR)","SELECT commissioned FROM table_name_29 WHERE operator = ""vietnam""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT opponent FROM table_name_75 WHERE date = ""august 5""",What is the opponent for the date of august 5?,"CREATE TABLE table_name_75 (opponent VARCHAR, date VARCHAR)","SELECT opponent FROM table_name_75 WHERE date = ""august 5""",0.999999995,0.999999995,0.999999995,1,1.0
SELECT opposing_teams FROM table_name_86 WHERE against < 6,"What is Opposing Teams, when Against is less than 6?","CREATE TABLE table_name_86 (opposing_teams VARCHAR, against INTEGER)",SELECT opposing_teams FROM table_name_86 WHERE against < 6,0.999999995,0.999999995,0.999999995,1,1.0
"SELECT distance FROM table_name_39 WHERE venue = ""belgrade""","What is Distance, when Venue is ""Belgrade""?","CREATE TABLE table_name_39 (distance VARCHAR, venue VARCHAR)","SELECT distance FROM table_name_39 WHERE venue = ""belgrade""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT results FROM table_1341423_20 WHERE incumbent = ""Albert Wynn""",What were the results in the election where Albert Wynn was the incumbent? ,"CREATE TABLE table_1341423_20 (results VARCHAR, incumbent VARCHAR)","SELECT results FROM table_1341423_20 WHERE incumbent = ""Albert Wynn""",0.999999995,0.999999995,0.999999995,1,1.0
SELECT round FROM table_name_92 WHERE year = 1987,What is Round when Year is 1987?,"CREATE TABLE table_name_92 (round VARCHAR, year VARCHAR)",SELECT round FROM table_name_92 WHERE year = 1987,0.999999995,0.999999995,0.999999995,1,1.0
"SELECT rank FROM table_name_55 WHERE player = ""jason dunstall""",What is the rank of player Jason Dunstall?,"CREATE TABLE table_name_55 (rank VARCHAR, player VARCHAR)","SELECT rank FROM table_name_55 WHERE player = ""jason dunstall""",0.999999995,0.999999995,0.999999995,1,1.0
SELECT MAX(points) FROM table_name_67 WHERE played < 30,Can you tell me the highest Points that has the Played smaller than 30?,"CREATE TABLE table_name_67 (points INTEGER, played INTEGER)",SELECT MAX(points) FROM table_name_67 WHERE played < 30,0.999999995,0.999999995,0.999999995,1,1.0
"SELECT COUNT(round) FROM table_name_25 WHERE position = ""defensive tackle"" AND overall < 149",In what round was a defensive tackle drafted with an overall pick smaller than 149?,"CREATE TABLE table_name_25 (round VARCHAR, position VARCHAR, overall VARCHAR)","SELECT round FROM table_name_25 WHERE position = ""defensive tackle"" AND overall < 149",0.9230769180769233,0.8333333283333335,0.9230769180769233,0,0.7772337559497721
"SELECT telebooms FROM table_name_78 WHERE brigade = ""total""",Which Telebooms have a Brigade of total?,"CREATE TABLE table_name_78 (telebooms VARCHAR, brigade VARCHAR)","SELECT telebooms FROM table_name_78 WHERE brigade = ""10th brigade""",0.823529406782007,0.7999999950222222,0.823529406782007,0,0.7916963878457504
"SELECT country FROM table_name_25 WHERE to_par = ""+1"" AND score = 71 - 76 - 70 = 217",What country has a To par of +1 and the score of 71-76-70=217?,"CREATE TABLE table_name_25 (country VARCHAR, to_par VARCHAR, score VARCHAR)","SELECT country FROM table_name_25 WHERE to_par = ""+1"" AND score = 71 - 76 - 70 = 217",0.999999995,0.999999995,0.999999995,1,1.0
SELECT AVG(goals_against) FROM table_name_45 WHERE wins = 13 AND goals_for > 42 AND losses > 9,"Which Goals against has Wins of 13, and Goals for larger than 42, and more than 9 Losses?","CREATE TABLE table_name_45 (goals_against INTEGER, losses VARCHAR, wins VARCHAR, goals_for VARCHAR)",SELECT AVG(goals_against) FROM table_name_45 WHERE wins > 13 AND goals_for > 42 AND losses > 9,0.9629629579698218,0.8666666616666667,0.9629629579698218,0,0.8985396083419646
"SELECT doctor_who_episode FROM table_name_78 WHERE episode__number = ""11""",Which Doctor Who episode has a Episode # of 11?,"CREATE TABLE table_name_78 (doctor_who_episode VARCHAR, episode__number VARCHAR)","SELECT doctor_who_episode FROM table_name_78 WHERE episode__number = ""11""",0.999999995,0.999999995,0.999999995,1,1.0
"SELECT MIN(voted_yes) FROM table_120778_2 WHERE percent_no = ""68.2""",what is the minimum voted yes where percent no is 68.2,"CREATE TABLE table_120778_2 (voted_yes INTEGER, percent_no VARCHAR)",SELECT MIN(voted_yes) FROM table_120778_2 WHERE percent_no = 68.2,0.7777777727777778,0.749999995,0.7777777727777778,0,0.8599822348550592
"SELECT SUM(attendance) FROM table_name_9 WHERE result = ""w 24–21"" AND week < 6","Result of w 24–21, and a Week smaller than 6 had what sum of attendance?","CREATE TABLE table_name_9 (attendance INTEGER, result VARCHAR, week VARCHAR)","SELECT SUM(attendance) FROM table_name_9 WHERE result = ""w 24–21"" AND week < 6",0.999999995,0.999999995,0.999999995,1,1.0
SELECT pick__number FROM table_name_70 WHERE rd__number > 3 AND pl_gp > 0,What is the pick number for the player from higher than round 3 and a PI GP bigger than 0?,"CREATE TABLE table_name_70 (pick__number VARCHAR, rd__number VARCHAR, pl_gp VARCHAR)",SELECT pick__number FROM table_name_70 WHERE rd__number = 3 AND pl_gp > 0,0.9565217341398866,0.8181818131818183,0.9565217341398866,0,0.8843865924896842
"SELECT 2006 FROM table_name_52 WHERE 2002 = ""grand slam tournaments""",What shows for 2006 when 2002 is Grand Slam Tournaments?,CREATE TABLE table_name_52 (Id VARCHAR),"SELECT 2006 FROM table_name_52 WHERE 2002 = ""grand slam tournaments""",0.999999995,0.999999995,0.999999995,1,1.0
